name,id,race,flavors1,flavors2,flavors3,positiveeffects1,positiveeffects2,positiveeffects3,positiveeffects4,positiveeffects5,negativeeffects1,negativeeffects2,negativeeffects3,negativeeffects4,negativeeffects5,medicaleffects1,medicaleffects2,medicaleffects3,medicaleffects4,medicaleffects5,medicaleffects6
Jamba Juice,1102,hybrid,Earthy,Berry,Pine,Happy,Energetic,Talkative,Tingly,Giggly,,,,,,Depression,Stress,Lack of Appetite,Fatigue,Muscle Spasms,
Jane Doe,1103,hybrid,Apricot,Berry,Citrus,Relaxed,Euphoric,Happy,Tingly,Giggly,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Nausea,
Jasmine,1104,hybrid,Sweet,Lavender,Rose,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dry Eyes,,,,,Depression,Pain,Stress,Lack of Appetite,Nausea,
Jawa Pie,1105,indica,Lemon,Minty,Lime,Relaxed,Euphoric,Happy,Sleepy,,Dizzy,Dry Mouth,,,,Depression,Insomnia,Pain,Cramps,Lack of Appetite,
Jazz,1106,hybrid,Citrus,Pepper,Sweet,Euphoric,Happy,Creative,Energetic,Uplifted,Dry Mouth,Dry Eyes,Anxious,,,Depression,Pain,Stress,Fatigue,Headaches,
Jean Guy,1107,hybrid,Citrus,Pine,Lemon,Euphoric,Happy,Energetic,Talkative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Fatigue,Inflammation
Jedi Kush,1108,indica,Earthy,Pungent,Pine,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
Jelly Roll,1109,indica,Pungent,Sweet,,Relaxed,Happy,Tingly,,,Paranoid,Dry Eyes,,,,Insomnia,Stress,Nausea,Eye Pressure,,
Jenni,1110,sativa,Sweet,Berry,Tree Fruit,Relaxed,Euphoric,Happy,Creative,Energetic,,,,,,Depression,Pain,Stress,Lack of Appetite,Headaches,
Jenny Kush,1111,hybrid,Citrus,Sweet,Earthy,Relaxed,Euphoric,Happy,Creative,Focused,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Headaches,Muscle Spasms,
Jesse's Girl,1112,indica,Berry,Coffee,Sweet,Relaxed,Euphoric,Happy,Creative,,Dry Eyes,,,,,Stress,Fatigue,Eye Pressure,Inflammation,,
Jesus,1113,hybrid,Citrus,Earthy,Lavender,Relaxed,Euphoric,Happy,Creative,Uplifted,,,,,,Depression,Insomnia,Pain,Stress,Nausea,
Jesus OG,1114,sativa,Earthy,Lemon,Citrus,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Fatigue,Headaches,
Jet Fuel,1115,hybrid,Diesel,Earthy,Pungent,Relaxed,Happy,Energetic,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Nausea,Fatigue,
Jillybean,1117,hybrid,Citrus,Sweet,Orange,Euphoric,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
Jimi Hendrix,1118,hybrid,Citrus,Earthy,Sweet,Relaxed,Euphoric,Happy,Creative,Uplifted,Anxious,,,,,Depression,Stress,Cramps,Lack of Appetite,Nausea,
Jock Horror,1119,sativa,Berry,Earthy,Sweet,Hungry,Euphoric,Happy,Energetic,Aroused,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
Johnnys Tonic,1120,sativa,Flowery,Skunk,Pungent,Relaxed,Hungry,Euphoric,Happy,Tingly,Dry Eyes,,,,,Pain,Cramps,Nausea,Fatigue,Inflammation,
Jolly Rancher,1121,hybrid,Sweet,Pungent,Flowery,Relaxed,Euphoric,Happy,Tingly,Giggly,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Nausea,Headaches,
Josh D OG,1122,indica,Berry,Blueberry,Blue Cheese,Aroused,,,,,Paranoid,Anxious,,,,Depression,Cramps,Fatigue,,,
Jr,1123,indica,Earthy,Pungent,Sweet,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Juicy Fruit,1124,hybrid,Sweet,Tropical,Citrus,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Fatigue
Juicy Jack,1125,hybrid,Sweet,Earthy,Citrus,Euphoric,Happy,Creative,Energetic,Uplifted,Dry Mouth,Paranoid,,,,Depression,Insomnia,Pain,Stress,Headache,Fatigue
Juliet,1126,hybrid,Spicy/Herbal,Pine,Earthy,Relaxed,Euphoric,Happy,Energetic,Focused,Dizzy,Dry Mouth,,,,Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms
Julius Caesar,1127,hybrid,Sweet,Flowery,Tropical,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Nausea,
Jungle Juice,1128,hybrid,Flowery,Citrus,Woody,Relaxed,Happy,Creative,Energetic,Sleepy,,,,,,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
Jupiter OG,1129,indica,Pungent,Sweet,Flowery,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Insomnia,Pain,Lack of Appetite,Nausea,Headache,Headaches
K-Train,1130,indica,Earthy,Citrus,Tree Fruit,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Cramps,Headache
K1,1131,hybrid,Ammonia,Pepper,Pine,Happy,Energetic,Uplifted,Focused,Giggly,,,,,,Depression,Pain,Stress,Fatigue,Headaches,
K2,1132,hybrid,Earthy,Citrus,Sweet,Relaxed,Hungry,Happy,Sleepy,,Dry Mouth,Dry Eyes,Anxious,,,Depression,Insomnia,Pain,Stress,Nausea,Headache
KC 33,1133,hybrid,Lemon,Citrus,Sweet,Relaxed,Hungry,Euphoric,Happy,Focused,,,,,,Pain,Stress,Headaches,Eye Pressure,Inflammation,
KC 36,1134,indica,Blueberry,Grape,Lavender,Relaxed,Uplifted,Sleepy,,,Dry Mouth,Dry Eyes,,,,Depression,Stress,Fatigue,,,
KT Dawg,1135,hybrid,Woody,Citrus,Sweet,Relaxed,Happy,Creative,Uplifted,Tingly,Dry Mouth,,,,,Pain,Stress,Inflammation,,,
Kaboom,1136,sativa,Pine,Earthy,Lemon,Happy,Energetic,Talkative,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Nausea,Headache,Fatigue
Kahuna,1137,indica,Orange,Pineapple,Pungent,Relaxed,Euphoric,Creative,Uplifted,Focused,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Fatigue,
Kaia Kush,1138,hybrid,Spicy/Herbal,Earthy,Flowery,Relaxed,Happy,Creative,Energetic,Uplifted,Dry Mouth,Dry Eyes,,,,Depression,Stress,Lack of Appetite,Nausea,Headaches,
Kalalau Kush,1139,hybrid,Earthy,Mango,Pineapple,Euphoric,Happy,Energetic,Tingly,Aroused,,,,,,,,,,,
Kalashnikova,1140,hybrid,Sweet,Flowery,Earthy,Euphoric,Happy,Talkative,Uplifted,Focused,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,Headache,Fatigue
Kali 47,1142,sativa,Sweet,Vanilla,,Euphoric,Happy,Creative,Energetic,Uplifted,,,,,,Depression,Fatigue,Headaches,Inflammation,Muscle Spasms,
Kali China,1143,indica,Earthy,Mango,Minty,Relaxed,Euphoric,Happy,Creative,Sleepy,,,,,,Depression,Insomnia,Pain,Stress,Nausea,
Kali Dog,1144,hybrid,Citrus,Earthy,Lemon,Relaxed,Happy,Energetic,Uplifted,Sleepy,Dry Eyes,,,,,Pain,Stress,Lack of Appetite,Headaches,Eye Pressure,
Kali Mist,1145,sativa,Earthy,Citrus,Sweet,Happy,Creative,Energetic,Uplifted,Focused,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms
Kandahar,1146,indica,Earthy,Apricot,Honey,Relaxed,Euphoric,Sleepy,Giggly,,Dizzy,Dry Mouth,,,,Depression,Insomnia,Pain,Stress,,
Kandy Kush,1147,hybrid,Sweet,Citrus,Lemon,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Fatigue
Kaptns Grand Dream,1148,hybrid,Ammonia,Blueberry,Earthy,Relaxed,Euphoric,Happy,Uplifted,Giggly,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Insomnia,Cramps,Lack of Appetite,Headache,Headaches
Karma Bitch,1149,hybrid,Coffee,Earthy,Tea,Relaxed,Happy,Creative,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Pain,Stress,Lack of Appetite,Spasticity,
Katsu Bubba Kush,1150,indica,Pungent,Grape,Plum,Relaxed,Euphoric,Happy,Tingly,,Dizzy,Dry Mouth,,,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Katsu Kush,1151,indica,Earthy,Sweet,Berry,Relaxed,Euphoric,Happy,Sleepy,Giggly,Dry Mouth,Paranoid,Dry Eyes,,,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
Kauai Electric,1152,sativa,Orange,Tree Fruit,Sweet,Happy,Creative,Energetic,Uplifted,Focused,,,,,,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Kelly Hill Gold,1153,indica,Earthy,Pepper,Coffee,Euphoric,Happy,Energetic,Talkative,Aroused,Dry Mouth,Dry Eyes,,,,Pain,Stress,Cramps,Inflammation,Muscle Spasms,
Ken's Kush,1154,hybrid,Berry,Blueberry,Earthy,Relaxed,Euphoric,Happy,Focused,Giggly,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,Fatigue,
Kerala Krush,1155,sativa,Mango,Sweet,Orange,Relaxed,Hungry,Happy,Energetic,Focused,,,,,,Depression,Cramps,Nausea,Fatigue,,
Key Lime Pie,1156,hybrid,Lime,Sweet,Citrus,Relaxed,Euphoric,Happy,Focused,,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Fatigue,Headaches,
Khalifa Kush,1157,hybrid,Lemon,Pungent,Citrus,Relaxed,Euphoric,Happy,Uplifted,Giggly,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
Khufu,1159,indica,Pungent,Sweet,Woody,Relaxed,Euphoric,Happy,Uplifted,Focused,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Headaches,
Kid N' Kookies,1160,hybrid,Earthy,Pine,Skunk,Relaxed,Happy,Tingly,Giggly,,Dry Mouth,Paranoid,Anxious,,,Depression,Insomnia,Pain,Headaches,Muscle Spasms,
Kilimanjaro,1161,sativa,Earthy,Spicy/Herbal,Pepper,Euphoric,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Fatigue,Headaches,
Kill Bill,1162,hybrid,Pine,Diesel,Earthy,Relaxed,Euphoric,Happy,Uplifted,Sleepy,,,,,,Depression,Stress,Lack of Appetite,Headaches,Eye Pressure,
Killer Grape,1163,hybrid,Sweet,Tropical,Grape,Relaxed,Euphoric,Happy,Uplifted,,Dry Mouth,,,,,Pain,Stress,Cramps,Lack of Appetite,Fatigue,
Killer Queen,1164,hybrid,Citrus,Lemon,Orange,Happy,Creative,Energetic,Talkative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Nausea,Headache,Fatigue
Killing Fields,1165,sativa,Lemon,Earthy,Pungent,Happy,Creative,Energetic,Focused,Aroused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Nausea,Headache,Fatigue
Kimbo Kush,1166,hybrid,Earthy,Pine,Sweet,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Insomnia,Pain,Stress,Lack of Appetite,Nausea,Headache
King Cake,1167,hybrid,Sweet,Vanilla,Citrus,Relaxed,Euphoric,Happy,Creative,Uplifted,Anxious,,,,,Stress,Lack of Appetite,Eye Pressure,,,
King Kong,1168,hybrid,Pungent,Earthy,Flowery,Relaxed,Euphoric,Happy,Tingly,,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Muscle Spasms,
King Louis XIII,1169,indica,Pine,Earthy,Woody,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Muscle Spasms,
King's Bread,1170,sativa,Earthy,Lemon,Citrus,Euphoric,Happy,Creative,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Insomnia,Stress,Headache,Fatigue,Eye Pressure
King's Kush,1171,indica,Earthy,Sweet,Grape,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Insomnia,Pain,Stress,Lack of Appetite,Headache,Fatigue
Kiwiskunk,1173,indica,Spicy/Herbal,Woody,Citrus,Hungry,Euphoric,Happy,Sleepy,Aroused,,,,,,Depression,Insomnia,Stress,Headache,,
Kobain Kush,1174,indica,Earthy,Pungent,Spicy/Herbal,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dry Eyes,Anxious,,,,Depression,Insomnia,Pain,Stress,Headaches,
Kona Gold,1175,sativa,Tropical,Pineapple,Honey,Euphoric,Happy,Creative,Energetic,Uplifted,Dry Mouth,,,,,Depression,Pain,Stress,Nausea,Fatigue,
Kong,1176,hybrid,Citrus,Earthy,Flowery,Relaxed,Euphoric,Happy,Creative,Tingly,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
Kool-Aid Smile,1177,indica,Berry,Grape,Sage,Relaxed,Euphoric,Happy,Creative,Talkative,,,,,,,,,,,
Kosher Kush,1178,indica,Earthy,Pungent,Pine,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
Kosher Tangie,1179,hybrid,Citrus,Orange,Pungent,Relaxed,Happy,Creative,Uplifted,Focused,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Muscle Spasms,
Kraken,1181,indica,Butter,Flowery,Tea,Relaxed,Euphoric,Happy,Sleepy,,Paranoid,Dry Eyes,,,,Pain,Stress,Headaches,Eye Pressure,Muscle Spasms,
Krishna Kush,1182,indica,Lavender,Pungent,,Relaxed,Euphoric,Happy,Giggly,Aroused,,,,,,Insomnia,Pain,Stress,,,
Kryptonite,1183,indica,Earthy,Sweet,Pungent,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Anxious,,Insomnia,Pain,Stress,Nausea,Headache,Headaches
Kuato,1184,hybrid,Orange,Pungent,Sweet,Euphoric,Happy,Creative,Talkative,Aroused,Dry Mouth,,,,,Depression,Pain,,,,
Kuchi,1185,hybrid,Lemon,Earthy,Sweet,Relaxed,Creative,Energetic,Giggly,Aroused,Dry Mouth,Anxious,,,,Depression,Pain,Stress,Fatigue,Headaches,
Kurple Fantasy,1186,hybrid,Earthy,Grape,Flowery,Relaxed,Euphoric,Happy,Uplifted,Tingly,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Pain,Stress,Nausea,Headaches,
Kush Cleaner,1187,hybrid,Woody,Diesel,Pine,Happy,Creative,Energetic,Tingly,Focused,Dry Mouth,Dry Eyes,,,,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
Kushadelic,1189,indica,Pine,Earthy,Berry,Relaxed,Hungry,Euphoric,Sleepy,,Dry Mouth,Dry Eyes,,,,Insomnia,Pain,Stress,Lack of Appetite,Inflammation,
Kushage,1190,hybrid,Earthy,Tea,Honey,Relaxed,Euphoric,Happy,Creative,Tingly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
Kushashima,1191,hybrid,Pine,Pungent,Nutty,Relaxed,Euphoric,Creative,Energetic,Sleepy,,,,,,Depression,Pain,,,,
Kushberry,1192,indica,Berry,Sweet,Earthy,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Insomnia,Pain,Stress,Lack of Appetite,Headache,Seizures
L'Eagle Eagle,1193,hybrid,Spicy/Herbal,Sweet,Earthy,Happy,Creative,Energetic,Uplifted,Focused,Dry Mouth,,,,,Depression,Stress,Fatigue,Inflammation,Muscle Spasms,
L.A.K. Federal Reserve,1195,indica,Earthy,Lemon,Citrus,Relaxed,Hungry,Creative,Tingly,Sleepy,,,,,,Pain,Stress,Lack of Appetite,Nausea,Headaches,
LA Chocolat,1196,hybrid,Earthy,Coffee,Sweet,Relaxed,Euphoric,Happy,Sleepy,Focused,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Muscle Spasms,
LA Confidential,1197,indica,Earthy,Pine,Sweet,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Headaches
LA Jack,1198,hybrid,Apple,Berry,Apricot,Relaxed,Euphoric,Happy,Creative,Sleepy,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Fatigue,
LA Kookies,1199,hybrid,Coffee,Earthy,Berry,Hungry,Happy,Creative,Focused,Giggly,,,,,,Pain,Inflammation,Muscle Spasms,,,
LA Kush,1200,hybrid,Berry,Blueberry,Menthol,Relaxed,Happy,Creative,Energetic,Aroused,Dry Mouth,Dry Eyes,Anxious,,,Depression,Pain,Stress,Nausea,Headache,Inflammation
LA OG,1201,indica,Flowery,Berry,Apple,Relaxed,Hungry,Euphoric,Happy,Tingly,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Pain,Stress,Cramps,Headache,Inflammation,Muscle Spasms
LA Ultra,1202,indica,Citrus,Chemical,Lemon,Relaxed,Euphoric,Happy,Tingly,Focused,Dry Mouth,Dry Eyes,,,,Insomnia,Pain,Stress,Cramps,Headaches,
LA Woman,1203,hybrid,Earthy,Pine,Pungent,Relaxed,Euphoric,Happy,Creative,Tingly,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Nausea,Headache,Headaches
LAPD,1204,hybrid,Diesel,Pepper,Pungent,Relaxed,Happy,Creative,Energetic,Uplifted,,,,,,Pain,,,,,
LSD,1205,hybrid,Earthy,Sweet,Citrus,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Lack of Appetite,Headaches,
LVPK,1206,hybrid,Sweet,Earthy,Flowery,Relaxed,Happy,Talkative,Uplifted,Aroused,Dry Mouth,Paranoid,Dry Eyes,,,Pain,Stress,Lack of Appetite,Nausea,Headaches,
Lady Liberty,1208,hybrid,Sweet,,,Relaxed,Hungry,Sleepy,,,,,,,,,,,,,
Ladyburn 1974,1209,hybrid,Pepper,Ammonia,Earthy,Relaxed,Hungry,Creative,Sleepy,Giggly,Dry Mouth,,,,,Pain,Lack of Appetite,Nausea,Fatigue,Eye Pressure,
Lake of Fire,1210,hybrid,Diesel,Pine,Sweet,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Pain,Stress,Inflammation,Muscle Spasms,
Lamb's Bread,1211,sativa,Earthy,Pungent,Woody,Euphoric,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Fatigue,Headaches
Lambo OG,1212,hybrid,Pine,Citrus,Earthy,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Insomnia,Pain,Stress,Nausea,Headache,Muscle Spasms
Lamborghini,1213,hybrid,Diesel,Pine,Lemon,Relaxed,Hungry,Euphoric,Uplifted,Sleepy,Dry Eyes,,,,,Depression,Insomnia,Stress,Fatigue,Headaches,
Larry Bird Kush,1214,hybrid,Sweet,Honey,Earthy,Relaxed,Euphoric,Energetic,Uplifted,,Dry Mouth,,,,,Pain,Stress,Headaches,Inflammation,Seizures,
Larry OG,1215,hybrid,Lemon,Citrus,Earthy,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Nausea,Headache
Lashkar Gah,1217,indica,Earthy,Pungent,Skunk,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dry Mouth,Dry Eyes,,,,Insomnia,Pain,Stress,Lack of Appetite,,
Laughing Buddha,1218,sativa,Earthy,Citrus,Pineapple,Euphoric,Happy,Energetic,Uplifted,Giggly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Lavender,1219,indica,Lavender,Flowery,Sweet,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Nausea,
Lavender Haze,1220,sativa,Lavender,Flowery,Skunk,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Mouth,Paranoid,Dry Eyes,,,Depression,Pain,Stress,Headache,Fatigue,Inflammation
Lavender Jones,1221,hybrid,Lavender,Flowery,Earthy,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
Le Silver Royale,1223,hybrid,Cheese,Pine,Skunk,Relaxed,Euphoric,Happy,Talkative,Uplifted,Dry Eyes,,,,,Depression,Pain,Stress,,,
Lee Roy,1225,indica,Pungent,Coffee,Earthy,Relaxed,Hungry,Euphoric,Happy,Creative,Dry Mouth,Dry Eyes,,,,Pain,Stress,Lack of Appetite,Headaches,Inflammation,
Legalized OG,1226,hybrid,Pungent,Chemical,Sweet,Relaxed,Euphoric,Happy,Uplifted,Focused,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Lack of Appetite,Inflammation,
Legend OG,1227,indica,Earthy,Pine,Chemical,Relaxed,Hungry,Euphoric,Uplifted,Sleepy,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Legendary Lemon,1228,sativa,Apricot,Chemical,Pungent,Relaxed,Euphoric,Creative,Aroused,,Dry Eyes,,,,,Depression,Insomnia,Pain,Nausea,Inflammation,
Lemon Alien Dawg,1230,hybrid,Citrus,Lemon,Sweet,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Anxious,,,Depression,Pain,Stress,Lack of Appetite,Nausea,Headache
Lemon Bananas,1231,hybrid,Lemon,Lime,Spicy/Herbal,Happy,Creative,Energetic,Talkative,,Dry Mouth,,,,,,,,,,
Lemon Bubble,1232,sativa,Lemon,Earthy,Pungent,Happy,Creative,Energetic,Talkative,Giggly,,,,,,Depression,Pain,Stress,Headaches,Muscle Spasms,
Lemon Cake,1233,sativa,Cheese,Lemon,Spicy/Herbal,Relaxed,Euphoric,Happy,Creative,Energetic,,,,,,Stress,,,,,
Lemon Daddy,1234,hybrid,Lemon,Citrus,Diesel,Relaxed,Happy,Energetic,Focused,Giggly,,,,,,Depression,Pain,Stress,Fatigue,Muscle Spasms,
Lemon Diesel,1235,hybrid,Lemon,Diesel,Citrus,Relaxed,Euphoric,Happy,Uplifted,Tingly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Lack of Appetite,Headaches,
Lemon Drop,1236,hybrid,Lemon,Citrus,Sweet,Relaxed,Euphoric,Happy,Uplifted,Giggly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Pain,Stress,Lack of Appetite,Headache,Inflammation,Muscle Spasms
Lemon Fire,1237,hybrid,Citrus,Earthy,Lemon,Euphoric,Happy,Energetic,Uplifted,Focused,,,,,,Depression,Stress,Headaches,,,
Lemon G,1238,sativa,Lemon,Citrus,Earthy,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Nausea,Headache,Fatigue
Lemon Haze,1239,sativa,Lemon,Citrus,Sweet,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Lemon Jack,1240,sativa,Lemon,Citrus,Earthy,Relaxed,Euphoric,Happy,Energetic,Giggly,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Headache,Fatigue,Headaches
Lemon Kush,1242,hybrid,Lemon,Citrus,Sweet,Relaxed,Hungry,Euphoric,Happy,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Headaches,
Lemon Larry Lavender,1243,hybrid,Citrus,Lavender,Lemon,Relaxed,Creative,Energetic,Focused,,Dry Mouth,,,,,Depression,Stress,,,,
Lemon Marmalade,1244,hybrid,Lemon,Diesel,Sweet,Relaxed,Euphoric,Happy,Creative,Uplifted,,,,,,Depression,Pain,Stress,Cramps,Lack of Appetite,
Lemon Meringue,1245,sativa,Lemon,Citrus,Sweet,Happy,Creative,Energetic,Talkative,Uplifted,,,,,,Depression,Stress,Lack of Appetite,Nausea,Headaches,
Lemon OG Haze,1246,hybrid,Lemon,Citrus,Earthy,Relaxed,Happy,Energetic,Uplifted,Focused,Paranoid,Anxious,,,,Depression,Pain,Stress,Fatigue,Headaches,
Lemon OG Kush,1247,hybrid,Lemon,Citrus,Earthy,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Lemon Pie,1248,sativa,Citrus,Lemon,Diesel,Euphoric,Happy,Energetic,Uplifted,Sleepy,,,,,,Depression,Stress,Cramps,Fatigue,Headaches,
Lemon Sativa,1249,sativa,Lemon,Citrus,Earthy,Euphoric,Happy,Creative,Energetic,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Fatigue
Lemon Skunk,1250,hybrid,Lemon,Skunk,Citrus,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Fatigue,Headaches
Lemon Thai,1251,sativa,Lemon,Sweet,Minty,Relaxed,Happy,Talkative,Uplifted,Focused,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
Lemon Walker OG,1252,hybrid,Citrus,Lemon,Pungent,Relaxed,Happy,Energetic,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Pain,Stress,Headache,Headaches,Muscle Spasms
