id,medicaleffects1,medicaleffects2,medicaleffects3,medicaleffects4,medicaleffects5,medicaleffects6
1103,Depression,Insomnia,Pain,Stress,Nausea,
1104,Depression,Pain,Stress,Lack of Appetite,Nausea,
1105,Depression,Insomnia,Pain,Cramps,Lack of Appetite,
1106,Depression,Pain,Stress,Fatigue,Headaches,
1107,Depression,Pain,Stress,Headache,Fatigue,Inflammation
1108,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1109,Insomnia,Stress,Nausea,Eye Pressure,,
1110,Depression,Pain,Stress,Lack of Appetite,Headaches,
1111,Depression,Pain,Stress,Headaches,Muscle Spasms,
1112,Stress,Fatigue,Eye Pressure,Inflammation,,
1113,Depression,Insomnia,Pain,Stress,Nausea,
1114,Depression,Pain,Stress,Fatigue,Headaches,
1115,Depression,Pain,Stress,Nausea,Fatigue,
1117,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
1118,Depression,Stress,Cramps,Lack of Appetite,Nausea,
1119,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
1120,Pain,Cramps,Nausea,Fatigue,Inflammation,
1121,Depression,Pain,Stress,Nausea,Headaches,
1122,Depression,Cramps,Fatigue,,,
1123,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1124,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1125,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1126,Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms
1127,Depression,Pain,Stress,Lack of Appetite,Nausea,
1128,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
1129,Insomnia,Pain,Lack of Appetite,Nausea,Headache,Headaches
1130,Depression,Insomnia,Pain,Stress,Cramps,Headache
1131,Depression,Pain,Stress,Fatigue,Headaches,
1132,Depression,Insomnia,Pain,Stress,Nausea,Headache
1133,Pain,Stress,Headaches,Eye Pressure,Inflammation,
1134,Depression,Stress,Fatigue,,,
1135,Pain,Stress,Inflammation,,,
1136,Depression,Pain,Stress,Nausea,Headache,Fatigue
1137,Depression,Insomnia,Pain,Stress,Fatigue,
1138,Depression,Stress,Lack of Appetite,Nausea,Headaches,
1139,,,,,,
1140,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1142,Depression,Fatigue,Headaches,Inflammation,Muscle Spasms,
1143,Depression,Insomnia,Pain,Stress,Nausea,
1144,Pain,Stress,Lack of Appetite,Headaches,Eye Pressure,
1145,Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms
1146,Depression,Insomnia,Pain,Stress,,
1147,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1148,Depression,Insomnia,Cramps,Lack of Appetite,Headache,Headaches
1149,Depression,Pain,Stress,Lack of Appetite,Spasticity,
1150,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1151,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
1152,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1153,Pain,Stress,Cramps,Inflammation,Muscle Spasms,
1154,Depression,Insomnia,Pain,Stress,Fatigue,
1155,Depression,Cramps,Nausea,Fatigue,,
1156,Depression,Pain,Stress,Fatigue,Headaches,
1157,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
1159,Depression,Insomnia,Pain,Stress,Headaches,
1160,Depression,Insomnia,Pain,Headaches,Muscle Spasms,
1161,Depression,Pain,Stress,Fatigue,Headaches,
1162,Depression,Stress,Lack of Appetite,Headaches,Eye Pressure,
1163,Pain,Stress,Cramps,Lack of Appetite,Fatigue,
1164,Depression,Pain,Stress,Nausea,Headache,Fatigue
1165,Depression,Pain,Stress,Nausea,Headache,Fatigue
1166,Insomnia,Pain,Stress,Lack of Appetite,Nausea,Headache
1167,Stress,Lack of Appetite,Eye Pressure,,,
1168,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1169,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1170,Depression,Insomnia,Stress,Headache,Fatigue,Eye Pressure
1171,Insomnia,Pain,Stress,Lack of Appetite,Headache,Fatigue
1173,Depression,Insomnia,Stress,Headache,,
1174,Depression,Insomnia,Pain,Stress,Headaches,
1175,Depression,Pain,Stress,Nausea,Fatigue,
1176,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
1177,,,,,,
1178,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
1179,Depression,Pain,Stress,Lack of Appetite,Muscle Spasms,
1181,Pain,Stress,Headaches,Eye Pressure,Muscle Spasms,
1182,Insomnia,Pain,Stress,,,
1183,Insomnia,Pain,Stress,Nausea,Headache,Headaches
1184,Depression,Pain,,,,
1185,Depression,Pain,Stress,Fatigue,Headaches,
1186,Depression,Pain,Stress,Nausea,Headaches,
1187,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
1189,Insomnia,Pain,Stress,Lack of Appetite,Inflammation,
1190,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
1191,Depression,Pain,,,,
1192,Insomnia,Pain,Stress,Lack of Appetite,Headache,Seizures
1193,Depression,Stress,Fatigue,Inflammation,Muscle Spasms,
1195,Pain,Stress,Lack of Appetite,Nausea,Headaches,
1196,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1197,Depression,Insomnia,Pain,Stress,Headache,Headaches
1198,Depression,Insomnia,Pain,Stress,Fatigue,
1199,Pain,Inflammation,Muscle Spasms,,,
1200,Depression,Pain,Stress,Nausea,Headache,Inflammation
1201,Pain,Stress,Cramps,Headache,Inflammation,Muscle Spasms
1202,Insomnia,Pain,Stress,Cramps,Headaches,
1203,Depression,Pain,Stress,Nausea,Headache,Headaches
1204,Pain,,,,,
1205,Depression,Pain,Stress,Lack of Appetite,Headaches,
1206,Pain,Stress,Lack of Appetite,Nausea,Headaches,
1208,,,,,,
1209,Pain,Lack of Appetite,Nausea,Fatigue,Eye Pressure,
1210,Depression,Pain,Stress,Inflammation,Muscle Spasms,
1211,Depression,Pain,Stress,Headache,Fatigue,Headaches
1212,Insomnia,Pain,Stress,Nausea,Headache,Muscle Spasms
1213,Depression,Insomnia,Stress,Fatigue,Headaches,
1214,Pain,Stress,Headaches,Inflammation,Seizures,
1215,Depression,Insomnia,Pain,Stress,Nausea,Headache
1217,Insomnia,Pain,Stress,Lack of Appetite,,
1218,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1219,Depression,Insomnia,Pain,Stress,Nausea,
1220,Depression,Pain,Stress,Headache,Fatigue,Inflammation
1221,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
1223,Depression,Pain,Stress,,,
1225,Pain,Stress,Lack of Appetite,Headaches,Inflammation,
1226,Depression,Pain,Stress,Lack of Appetite,Inflammation,
1227,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1228,Depression,Insomnia,Pain,Nausea,Inflammation,
1230,Depression,Pain,Stress,Lack of Appetite,Nausea,Headache
1231,,,,,,
1232,Depression,Pain,Stress,Headaches,Muscle Spasms,
1233,Stress,,,,,
1234,Depression,Pain,Stress,Fatigue,Muscle Spasms,
1235,Depression,Pain,Stress,Lack of Appetite,Headaches,
1236,Pain,Stress,Lack of Appetite,Headache,Inflammation,Muscle Spasms
1237,Depression,Stress,Headaches,,,
1238,Depression,Pain,Stress,Nausea,Headache,Fatigue
1239,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1240,Depression,Pain,Stress,Headache,Fatigue,Headaches
1242,Depression,Insomnia,Pain,Stress,Headaches,
1243,Depression,Stress,,,,
1244,Depression,Pain,Stress,Cramps,Lack of Appetite,
1245,Depression,Stress,Lack of Appetite,Nausea,Headaches,
1246,Depression,Pain,Stress,Fatigue,Headaches,
1247,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1248,Depression,Stress,Cramps,Fatigue,Headaches,
1249,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1250,Depression,Pain,Stress,Headache,Fatigue,Headaches
1251,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
1252,Depression,Pain,Stress,Headache,Headaches,Muscle Spasms
1253,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1254,Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms
1255,Depression,Insomnia,Pain,Stress,Headaches,
1256,Depression,Insomnia,Pain,Stress,Cramps,
1257,Depression,Insomnia,Stress,Lack of Appetite,Muscle Spasms,
1258,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
1259,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1260,Insomnia,Pain,Stress,Cramps,Muscle Spasms,
1261,Depression,Pain,Stress,Nausea,Headache,Fatigue
1262,Depression,Stress,Lack of Appetite,Headaches,Eye Pressure,
1263,Depression,Stress,Nausea,Headaches,Eye Pressure,
1264,Depression,Pain,Stress,Cramps,Lack of Appetite,
1265,Depression,Pain,Stress,Fatigue,Muscle Spasms,
1266,Depression,Pain,Stress,Fatigue,Inflammation,
1267,Insomnia,Stress,Nausea,Headache,Headaches,Inflammation
1268,Depression,Insomnia,Pain,Stress,Cramps,
1270,Pain,Stress,Fatigue,Inflammation,Muscle Spasms,
1271,Depression,Insomnia,Pain,Stress,Fatigue,
1272,Depression,Insomnia,Pain,Stress,Nausea,
1273,Depression,Pain,Stress,Headaches,Eye Pressure,
1274,Depression,Pain,Stress,Fatigue,,
1275,Depression,Lack of Appetite,Fatigue,Eye Pressure,Inflammation,
1276,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
1277,Depression,Insomnia,Pain,Stress,Nausea,Headache
1278,Depression,Pain,Nausea,Headache,Fatigue,
1279,Depression,Pain,Stress,Lack of Appetite,Nausea,
1280,Depression,Insomnia,Pain,Stress,Headache,Headaches
1281,Depression,Insomnia,Pain,Stress,Nausea,
1282,Depression,Cramps,Fatigue,Headaches,Eye Pressure,
1284,Pain,Stress,Lack of Appetite,Headaches,Muscle Spasms,
1285,Depression,Insomnia,Stress,Lack of Appetite,Headaches,
1286,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
1287,Depression,Pain,Stress,Nausea,Fatigue,
1288,Depression,Pain,Stress,Headaches,Inflammation,
1289,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1290,Depression,Stress,Cramps,Headaches,Inflammation,
1291,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1292,Depression,Insomnia,Pain,Stress,Headaches,
1293,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
1294,Insomnia,Pain,Stress,Headaches,Muscle Spasms,
1295,Depression,Stress,Cramps,Fatigue,Eye Pressure,
1296,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
1299,Insomnia,Pain,Stress,Lack of Appetite,Headache,Inflammation
1300,Depression,Insomnia,Pain,Stress,Eye Pressure,
1301,Depression,Stress,Cramps,Fatigue,Headaches,
1302,Pain,Nausea,Fatigue,Headaches,Eye Pressure,
1303,Depression,Pain,Stress,Headaches,,
1304,Depression,Pain,Stress,Lack of Appetite,Nausea,
1305,Depression,Pain,Stress,Fatigue,Eye Pressure,
1306,Depression,Stress,Nausea,Fatigue,Headaches,
1307,Pain,Stress,Fatigue,Inflammation,Muscle Spasms,
1308,Depression,Stress,Nausea,Headaches,,
1309,Depression,Insomnia,Pain,Stress,Nausea,Headache
1310,Depression,Pain,Stress,Headache,Fatigue,Headaches
1311,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
1312,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
1313,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1314,Depression,Pain,Cramps,Fatigue,Muscle Spasms,
1315,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1316,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1317,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1318,Depression,Insomnia,Stress,,,
1319,Depression,Pain,Stress,Cramps,Inflammation,
1320,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1321,Depression,Insomnia,Stress,Lack of Appetite,,
1322,Insomnia,Pain,Stress,Lack of Appetite,Headache,Fatigue
1323,Depression,Insomnia,Stress,Nausea,Fatigue,
1324,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
1325,Insomnia,Pain,Stress,Lack of Appetite,Inflammation,
1326,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1327,Depression,Insomnia,Pain,Stress,Headache,Headaches
1328,Insomnia,Pain,Lack of Appetite,Eye Pressure,Muscle Spasms,
1329,Depression,Insomnia,Pain,Stress,Headaches,
1330,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1331,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1332,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1335,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
1336,Depression,Insomnia,Pain,Stress,Nausea,
1337,Depression,Insomnia,Pain,Stress,Inflammation,
1338,Pain,Stress,Inflammation,Muscle Spasms,,
1339,Depression,Pain,Stress,Seizures,Muscle Spasms,
1340,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1341,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1342,Depression,Pain,Stress,Fatigue,Headaches,
1343,Insomnia,Pain,Lack of Appetite,Inflammation,Muscle Spasms,
1344,Insomnia,Pain,Stress,Nausea,Inflammation,
1345,Depression,Insomnia,Stress,,,
1346,Depression,Pain,Stress,Nausea,Headache,Inflammation
1347,Depression,Insomnia,Pain,Stress,Headache,Inflammation
1348,Pain,Stress,Nausea,Headache,Headaches,Inflammation
1349,Depression,Pain,Stress,Cramps,Fatigue,
1350,Depression,Insomnia,Pain,Stress,Fatigue,
1351,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
1352,Depression,Stress,Lack of Appetite,Nausea,Fatigue,
1354,Depression,Pain,Stress,Fatigue,Inflammation,
1355,Depression,Pain,Stress,Fatigue,Muscle Spasms,
1356,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1357,Depression,Insomnia,Pain,Stress,Nausea,Headache
1358,Insomnia,Pain,Stress,Fatigue,Headaches,
1359,Depression,Insomnia,Stress,Headaches,Muscle Spasms,
1360,Depression,Stress,Lack of Appetite,Headache,Fatigue,Eye Pressure
1361,Depression,Pain,Stress,Headache,Headaches,Eye Pressure
1362,Depression,Stress,Cramps,Lack of Appetite,Muscle Spasms,
1363,Depression,Pain,Stress,Spasticity,Muscle Spasms,
1364,Depression,Insomnia,Pain,Stress,Headache,Headaches
1365,Depression,Pain,Stress,Lack of Appetite,Eye Pressure,
1366,Depression,Insomnia,Pain,Stress,Headache,Inflammation
1367,Depression,Pain,Stress,Nausea,Headache,Headaches
1368,Depression,Pain,Stress,Headache,Fatigue,Headaches
1369,Depression,Insomnia,Stress,Lack of Appetite,Headache,Headaches
1370,Muscle Spasms,,,,,
1371,Insomnia,Pain,Headache,Headaches,Eye Pressure,Muscle Spasms
1372,Depression,Stress,Headaches,Inflammation,,
1373,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1374,Depression,Pain,Stress,Nausea,Headache,Fatigue
1375,Depression,Pain,Stress,Cramps,Inflammation,
1376,,,,,,
1377,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1378,Depression,Pain,Stress,Lack of Appetite,Headaches,
1379,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1380,Depression,Insomnia,Pain,Stress,Inflammation,
1381,Insomnia,Pain,Stress,Cramps,Lack of Appetite,
1382,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1383,Depression,Insomnia,Eye Pressure,Inflammation,Muscle Spasms,
1385,Depression,Stress,Lack of Appetite,Headache,Fatigue,Muscle Spasms
1386,Depression,Insomnia,Stress,Lack of Appetite,Nausea,
1387,Depression,Pain,Stress,Fatigue,Inflammation,
1388,Depression,Insomnia,Stress,Nausea,Headache,Fatigue
1389,Headache,,,,,
1390,Depression,Pain,Stress,Nausea,Headaches,
1391,Pain,Fatigue,Headaches,Spasticity,Muscle Spasms,
1392,Insomnia,Pain,Stress,Headaches,Inflammation,
1393,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1394,Depression,Pain,Stress,Headaches,Muscle Spasms,
1395,Depression,Pain,Stress,Cramps,Inflammation,
1396,Depression,Pain,Stress,Headache,Fatigue,Headaches
1397,Depression,Stress,,,,
1398,Depression,Insomnia,Pain,Stress,Headache,Headaches
1399,,,,,,
1400,Depression,Pain,Stress,Cramps,Fatigue,
1401,Depression,Lack of Appetite,Headaches,Inflammation,Muscle Spasms,
1402,Depression,Pain,Stress,Lack of Appetite,Nausea,
1403,Insomnia,Pain,Stress,Fatigue,Headaches,
1406,Depression,Stress,Nausea,Fatigue,,
1407,Depression,Insomnia,Stress,Lack of Appetite,Nausea,
1408,Depression,Fatigue,,,,
1409,Depression,Pain,Stress,Nausea,Headache,Fatigue
1410,Depression,Pain,Stress,Cramps,Headache,Fatigue
1411,Depression,Pain,Stress,Fatigue,Muscle Spasms,
1412,Depression,Pain,Stress,Nausea,Headache,Fatigue
1413,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
1414,Insomnia,Pain,Lack of Appetite,Headaches,Muscle Spasms,
1415,Depression,Pain,Stress,Nausea,Headache,Fatigue
1417,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1418,Insomnia,Pain,Stress,Nausea,Muscle Spasms,
1419,Pain,Stress,Nausea,Headache,Inflammation,Muscle Spasms
1420,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1421,Depression,Insomnia,Lack of Appetite,Nausea,Fatigue,
1422,Depression,Insomnia,Stress,Lack of Appetite,Headaches,
1423,Depression,Insomnia,Cramps,Fatigue,Headaches,
1424,Insomnia,Pain,Stress,Headaches,Muscle Spasms,
1425,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1426,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
1427,Depression,Stress,Fatigue,Headaches,Eye Pressure,
1428,Depression,Pain,Stress,Lack of Appetite,Headaches,
1429,Depression,Pain,Stress,,,
1430,Depression,Stress,Lack of Appetite,Headaches,Eye Pressure,
1431,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1432,Depression,Insomnia,Pain,Nausea,Fatigue,
1433,,,,,,
1434,Stress,Nausea,Eye Pressure,Muscle Spasms,,
1435,Depression,Pain,Stress,Inflammation,Muscle Spasms,
1437,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1438,Depression,Insomnia,Pain,Stress,Headache,Inflammation
1439,Depression,Stress,Lack of Appetite,Nausea,Fatigue,
1440,Depression,Pain,Stress,Headaches,Inflammation,
1441,Depression,Pain,Stress,Nausea,Fatigue,
1442,Depression,Inflammation,,,,
1443,Depression,Insomnia,Pain,Stress,Nausea,Headache
1444,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1445,Depression,Pain,Stress,Headaches,Inflammation,
1447,Pain,Stress,Fatigue,,,
1448,Depression,Pain,Stress,Fatigue,Seizures,
1449,Depression,Insomnia,Pain,Stress,Nausea,Headache
1450,Depression,Stress,Lack of Appetite,Headache,Headaches,Eye Pressure
1451,Depression,Pain,Stress,Lack of Appetite,Headaches,
1452,Insomnia,Pain,Stress,Lack of Appetite,Headache,Headaches
1453,,,,,,
1455,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1456,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1457,Pain,,,,,
1458,Depression,Insomnia,Pain,Stress,Nausea,Headache
1459,Depression,Pain,Stress,Inflammation,Muscle Spasms,
1460,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1461,Depression,Insomnia,Pain,Stress,Headaches,
1462,Depression,Pain,Stress,Fatigue,Muscle Spasms,
1463,Depression,Insomnia,Nausea,Fatigue,Headaches,
1464,Depression,Pain,Stress,Headache,Fatigue,Headaches
1465,Depression,Insomnia,Pain,Stress,Inflammation,
1466,Depression,Insomnia,Stress,Lack of Appetite,Nausea,Headache
1467,Depression,Insomnia,Pain,Stress,Headache,Headaches
1468,Depression,Insomnia,Pain,Stress,Headache,Headaches
1469,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1470,Depression,Pain,Stress,Cramps,Fatigue,
1471,Pain,Stress,Nausea,Fatigue,,
1473,Depression,Insomnia,Pain,Stress,Eye Pressure,
1474,Pain,Stress,Cramps,Fatigue,Headaches,
1475,Depression,Pain,Stress,Nausea,Inflammation,
1476,Depression,Pain,Stress,Headaches,Muscle Spasms,
1477,Insomnia,Pain,Stress,Lack of Appetite,Muscle Spasms,
1478,Depression,Insomnia,Stress,Lack of Appetite,Muscle Spasms,
1479,Depression,Pain,Stress,Cramps,Eye Pressure,
1480,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1481,Depression,Insomnia,Pain,Cramps,Lack of Appetite,
1482,Depression,Pain,Stress,Lack of Appetite,Nausea,
1483,Depression,Pain,Stress,Nausea,Headache,Headaches
1484,Depression,Pain,Stress,Nausea,Headache,Muscle Spasms
1485,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1486,Depression,Insomnia,Pain,Stress,Headache,Headaches
1487,Depression,Pain,Stress,Fatigue,Headaches,
1488,Depression,Stress,Lack of Appetite,Headache,Headaches,Inflammation
1489,Depression,Stress,Headaches,Eye Pressure,Spasticity,
1490,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1491,Depression,Insomnia,Stress,Lack of Appetite,,
1492,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
1493,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1494,Pain,Cramps,Headaches,Inflammation,Muscle Spasms,
1495,Depression,Pain,Stress,Nausea,Headache,Inflammation
1496,Depression,Stress,Lack of Appetite,Fatigue,,
1497,Depression,Pain,Stress,Lack of Appetite,Nausea,
1498,Depression,Stress,Fatigue,Inflammation,,
1499,Depression,Insomnia,Pain,Stress,Headaches,
1500,Depression,Stress,Nausea,Fatigue,Muscle Spasms,
1501,Insomnia,Pain,Stress,Lack of Appetite,Nausea,
1502,Depression,Pain,Stress,Nausea,Headaches,
1503,Depression,Pain,Stress,Cramps,Nausea,
1504,Depression,Pain,Stress,Lack of Appetite,Muscle Spasms,
1505,Depression,Pain,Stress,Nausea,Fatigue,
1506,Depression,Pain,Stress,Cramps,Fatigue,
1507,Insomnia,Pain,Stress,Nausea,Headache,Eye Pressure
1508,Depression,Pain,Stress,Cramps,Inflammation,
1510,Depression,Insomnia,Stress,Nausea,Eye Pressure,
1511,Depression,Insomnia,Pain,Fatigue,Inflammation,
1512,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1513,Insomnia,Pain,Stress,Lack of Appetite,Headache,Muscle Spasms
1515,Insomnia,Stress,Fatigue,Headaches,Eye Pressure,
1516,Depression,Pain,Stress,Headache,Fatigue,Headaches
1517,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1518,Depression,Pain,Stress,Nausea,Headache,Fatigue
1519,Insomnia,Pain,Stress,Nausea,Headache,Headaches
1520,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1521,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1522,Depression,Cramps,Fatigue,Headaches,Eye Pressure,
1524,Depression,Pain,Stress,Nausea,Inflammation,
1525,Depression,Pain,Stress,Nausea,Headaches,
1526,,,,,,
1527,Depression,Insomnia,Pain,Stress,Headache,Inflammation
1528,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1529,Depression,Stress,Headache,Fatigue,Headaches,Inflammation
1531,Depression,Stress,Cramps,Lack of Appetite,Inflammation,
1532,Insomnia,Pain,Stress,Headaches,,
1534,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1535,Pain,Stress,Fatigue,Headaches,Inflammation,
1536,Depression,Pain,Stress,Nausea,Headaches,
1537,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1538,Depression,Insomnia,Cramps,Lack of Appetite,Headaches,
1539,Depression,Pain,Stress,Lack of Appetite,Headaches,
1540,Depression,Stress,Nausea,Fatigue,Inflammation,
1542,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1543,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
1544,Depression,Pain,Stress,Nausea,Muscle Spasms,
1545,Depression,Pain,Stress,Fatigue,Headaches,
1546,Pain,Stress,Lack of Appetite,Fatigue,Muscle Spasms,
1547,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1548,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
1549,Depression,Pain,Stress,Cramps,Inflammation,
1550,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1551,Depression,Stress,Fatigue,Headaches,Eye Pressure,
1552,Depression,Pain,Stress,Nausea,Headache,Fatigue
1553,Depression,Pain,Stress,Fatigue,Inflammation,
1554,Depression,Insomnia,Pain,Stress,Fatigue,
1555,Depression,Pain,Stress,Fatigue,Headaches,
1556,Depression,Fatigue,Headaches,Eye Pressure,Inflammation,
1557,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
1558,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1559,Depression,Pain,Stress,Headaches,Muscle Spasms,
1560,Pain,Lack of Appetite,Nausea,Headache,Fatigue,Headaches
1561,Depression,Fatigue,Headaches,Eye Pressure,Inflammation,
1562,Depression,Insomnia,Pain,Stress,Cramps,
1563,Depression,Insomnia,Pain,Stress,Headaches,
1564,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1565,Depression,Insomnia,Pain,Lack of Appetite,Nausea,
1566,Depression,Stress,Cramps,Fatigue,Eye Pressure,
1567,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1568,Depression,Pain,Stress,Fatigue,Headaches,
1569,Depression,Pain,Stress,Lack of Appetite,Headaches,
1570,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1571,Depression,Insomnia,Pain,Stress,Eye Pressure,
1572,Nausea,Headache,Headaches,Eye Pressure,,
1573,Depression,Insomnia,Stress,Headaches,Inflammation,
1575,Pain,Stress,Lack of Appetite,Nausea,Headache,Inflammation
1576,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1577,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1578,Depression,Pain,Stress,Lack of Appetite,Muscle Spasms,
1579,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1580,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1581,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1582,Pain,Stress,Lack of Appetite,Fatigue,Eye Pressure,
1583,Depression,Insomnia,Pain,Stress,Headache,Headaches
1584,Depression,Insomnia,Pain,Stress,Nausea,
1585,Depression,Insomnia,Pain,Stress,Nausea,Headache
1586,Depression,Pain,Stress,Cramps,Headaches,
1587,,,,,,
1588,Insomnia,Lack of Appetite,Fatigue,Eye Pressure,Muscle Spasms,
1589,Depression,Insomnia,Pain,Stress,Headache,Headaches
1590,Insomnia,Pain,Stress,Lack of Appetite,Headache,Headaches
1591,Insomnia,Stress,Nausea,Headache,Fatigue,Muscle Spasms
1592,Depression,Pain,Stress,Headache,Fatigue,Inflammation
1593,Depression,Insomnia,Pain,Stress,Inflammation,
1594,Depression,Stress,Cramps,Nausea,Muscle Spasms,
1595,Depression,Insomnia,Pain,Stress,Headache,Headaches
1596,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1597,Depression,Stress,Fatigue,,,
1598,Depression,Insomnia,Pain,Stress,Headaches,
1599,Depression,Pain,Stress,Inflammation,Muscle Spasms,
1600,,,,,,
1602,Pain,Stress,Cramps,Lack of Appetite,Inflammation,
1603,Stress,Cramps,Lack of Appetite,Nausea,Muscle Spasms,
1604,Pain,Stress,Inflammation,Spasticity,Muscle Spasms,
1605,Depression,Insomnia,Pain,Stress,Muscle Spasms,
1606,Insomnia,Stress,Cramps,Lack of Appetite,Nausea,Headache
1607,Insomnia,Pain,Stress,Nausea,Headache,Inflammation
1608,Depression,Pain,Stress,Headache,Fatigue,Headaches
